Название,Жанр,Выберите поджанр:,Какое настроение ты ищешь?,Временной период:,Рейтинг
Крупная рыба,Драма,Фэнтези,Философское,Современное кино (2000–2020),7.973
Последний самурай,Драма,Исторический,Философское,Современное кино (2000–2020),8.087
Rammstein: Paris!,Драма,Другое,Другое,Современное кино (2000–2020),8.579
Дурак,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),8.107
Расемон,Драма,Детектив,Философское,Классика (до 2000 года),7,901
Одержимость,Драма,Биографический,Грустное/Трагическое,Современное кино (2000–2020),8.362
Гамлет,Драма,Исторический,Философское,Классика (до 2000 года),8.061
Тихий Дон,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),8.287
Восход солнца,Драма,Мелодрама,Философское,Классика (до 2000 года),7.876
Идиот,Драма,Исторический,Грустное/Трагическое,Современное кино (2000–2020),8.459
Портрет Дориана Грея,Драма,Психологическая драма,Философское,Классика (до 2000 года),7.397
Выживший,Драма,Приключения,Вдохновляющее,Современное кино (2000–2020),7.843
В яранге горит огонь,Драма,Исторический,Грустное/Трагическое,Новинки (2020–2025),7.922
Красота по-американски,Драма,Неважно,Философское,Классика (до 2000 года),7.993
Свет,Драма,Семейный,Грустное/Трагическое,Новинки (2020–2025),7.131
Набережная туманов,Драма,Криминал,Грустное/Трагическое,Классика (до 2000 года),7.657
Социальная сеть,Драма,Биографический,Философское,Современное кино (2000–2020),7.726
Голубой ангел,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),7.625
Кентавр,Драма,Семейный,Грустное/Трагическое,Новинки (2020–2025),7.794
Фауст. Народная легенда,Драма,Исторический,Философское,Классика (до 2000 года),6.714
Воспоминания о Марни,Драма,Семейный,Грустное/Трагическое,Современное кино (2000–2020),7.895
Гран Торино,Драма,Криминал,Философское,Современное кино (2000–2020),8.143
Ангелы с грязными лицами,Драма,Криминал,Грустное/Трагическое,Классика (до 2000 года),7.733
Бальная записная книжка,Драма,Исторический,Философское,Новинки (2020–2025),7.405
Летят журавли,Драма,Военный,Грустное/Трагическое,Классика (до 2000 года),8.408
Звезда родилась,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.371
Нефть,Драма,Исторический,Другое,Современное кино (2000–2020),7.845
Дитя погоды,Драма,Фэнтези,Вдохновляющее,Современное кино (2000–2020),8.032
Дело было в Пенькове,Драма,Мелодрама,Вдохновляющее,Классика (до 2000 года),8.275
Убийцы цветочной луны,Драма,Криминал,Философское,Новинки (2020–2025),7.16
Привидение,Драма,Фэнтези,Грустное/Трагическое,Классика (до 2000 года),8.179
Круэлла,Драма,Криминал,Грустное/Трагическое,Новинки (2020–2025),7.58
Весна, лето, осень, зима... и снова весна,Драма,Неважно,Философское,Современное кино (2000–2020),7.941
Вступление,Драма,Семейный,Философское,Новинки (2020–2025),6.821
Разные судьбы,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),8.224
Globe: Доктор Фауст,Драма,Философское,Философское,Новинки (2020–2025),8.401
Семь жизней,Драма,Мелодрама,Философское,Современное кино (2000–2020),8.207
Меня зовут Кхан,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),8.096
Сирано Де Бержерак,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.67
Артист,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),7.956
Укрась прощальное утро цветами обещания,Драма,Мелодрама,Грустное/Трагическое,Новинки (2020–2025),8.316
Чтец,Драма,Криминал,Философское,Современное кино (2000–2020),7.953
Шанхайский экспресс,Драма,Приключения,Философское,Классика (до 2000 года),7.087
Отчий дом,Драма,Семейный,Грустное/Трагическое,Новинки (2020–2025),7.941
В метре друг от друга,Драма,Мелодрама,Грустное/Трагическое,Новинки (2020–2025),7.416
Боец,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),7.783
Пять сантиметров в секунду,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.403
Жизнь Пи,Драма,Приключения,Философское,Современное кино (2000–2020),7.831
Терминал,Драма,Семейный,Вдохновляющее,Современное кино (2000–2020),8.123
Гордость и предубеждение,Драма,Мелодрама,Другое,Классика (до 2000 года),8.151
Вам и не снилось,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),8.295
Чужестранец,Драма,Криминал,Грустное/Трагическое,Классика (до 2000 года),7.085
Шинель,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.998
До встречи с тобой,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.293
Без вины виноватые,Драма,Криминал,Грустное/Трагическое,Классика (до 2000 года),6.006
Игра на понижение,Драма,Криминал,Философское,Современное кино (2000–2020),7.367
Конец Санкт-Петербурга,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.119
Живая сталь,Драма,Фантастика,Вдохновляющее,Современное кино (2000–2020),7.669
Мои мамы,Драма,Семейный,Вдохновляющее,Новинки (2020–2025),0
Последний дюйм,Драма,Приключения,Вдохновляющее,Классика (до 2000 года),7.963
Деньги господина Арне,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.429
Иллюзионист,Драма,Исторический,Грустное/Трагическое,Современное кино (2000–2020),8.018
Сталкер,Драма,Фантастика,Философское,Классика (до 2000 года),8.095
Малена,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.796
Молчание,Драма,Исторический,Философское,Современное кино (2000–2020),7.159
Еще по одной,Драма,Комедия,Философское,Новинки (2020–2025),7.56
Сорок первый,Драма,Военный,Грустное/Трагическое,Классика (до 2000 года),7.78
Евгений Онегин,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),7.956
Третья Мещанская,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),7.737
Искупление,Драма,Военный,Грустное/Трагическое,Современное кино (2000–2020),8.065
Добровольцы,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),8.312
Аталанта,Драма,Мелодрама,Философское,Классика (до 2000 года),7.573
Человек родился,Драма,Семейный,Вдохновляющее,Новинки (2020–2025),7.697
Ушедшие,Драма,Психологическая,Философское,Новинки (2020–2025),8.08
Далласский клуб покупателей,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),7.949
Вайолет Эвергарден. Вечность и призрак пера,Драма,Фэнтези,Грустное/Трагическое,Современное кино (2000–2020),7.669
Рестлер,Драма,Биографический,Грустное/Трагическое,Современное кино (2000–2020),7.547
Малхолланд Драйв,Драма,Психологический триллер,Философское,Современное кино (2000–2020),7.678
Табу,Драма,Исторический,Философское,Современное кино (2000–2020),7.829
Национальный бархат,Драма,Семейный,Вдохновляющее,Классика (до 2000 года),7.28
Легенды осени,Драма,Семейная сага,Грустное/Трагическое,Классика (до 2000 года),7.997
Сибирский цирюльник,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.858
Сломанные побеги,Драма,Семейный,Философское,Современное кино (2000–2020),7.167
Невидимая сторона,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),8.189
Город мальчиков,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),6.775
Кид Гэлэхэд,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),7.144
Возвращение,Драма,Семейный,Грустное/Трагическое,Современное кино (2000–2020),7.858
Парфюмер: история одного убийцы,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),7.713
Худший человек на свете,Драма,Криминал,Философское,Новинки (2020–2025),7.308
Восемь с половиной,Драма,Биографический,Философское,Классика (до 2000 года),6.681
Салют-7,Драма,Исторический,Вдохновляющее,Современное кино (2000–2020),7.582
Почтальон всегда звонит дважды,Драма,Триллер,Грустное/Трагическое,Классика (до 2000 года),7.142
Поднятая целина,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.917
Воровка книг,Драма,Исторический,Грустное/Трагическое,Современное кино (2000–2020),7.808
Мавританец,Драма,Биографический,Грустное/Трагическое,Новинки (2020–2025),7.834
Белая лента,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),7.334
Шоколад,Драма,Мелодрама,Вдохновляющее,Современное кино (2000–2020),7.867
Судья,Драма,Криминал,Другое,Современное кино (2000–2020),7.866
Восемнадцатый год,Драма,Исторический,Грустное/Трагическое,Новинки (2020–2025),6.999
Догвилль,Драма,Криминал,Философское,Современное кино (2000–2020),8.013
Она,Драма,Фантастика,Философское,Современное кино (2000–2020),7.659
Когда мы уходим,Драма,Биографический,Грустное/Трагическое,Новинки (2020–2025),6.57
Вторая жизнь Уве,Драма,Семейный,Вдохновляющее,Современное кино (2000–2020),8.268
Подмена,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),7.929
Идеальные дни,Драма,Биографический,Философское,Новинки (2020–2025),7.826
Пучина,Драма,Криминал,Другое,Новинки (2020–2025),6.502
Учитель на замену,Драма,Криминал,Философское,Новинки (2020–2025),7.825
Помни меня,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.635
Капитан Филлипс,Драма,Биографический,Другое,Современное кино (2000–2020),7.603
Мертвец,Драма,Приключения,Философское,Классика (до 2000 года),7.857
Аритмия,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.744
Опасная игра Слоун,Драма,Криминал,Философское,Современное кино (2000–2020),7.996
Одинокий мужчина,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.765
Я делаю шаг,Драма,Биографический,Вдохновляющее,Новинки (2020–2025),7.838
Один день,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.836
Новый Вавилон,Драма,Исторический,Философское,Новинки (2020–2025),7.092
Старое и новое (Генеральная линия),Драма,Исторический,Философское,Классика (до 2000 года),7.007
Дорогой мой человек,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),8.152
Сан-Франциско,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.059
Таланты и поклонники,Драма,Неважно,Вдохновляющее,Классика (до 2000 года),6.679
Бёрдмэн,Драма,Неважно,Философское,Современное кино (2000–2020),7.655
Ангел А,Драма,Фэнтези,Философское,Современное кино (2000–2020),7.787
Удар,Драма,Биографический,Вдохновляющее,Новинки (2020–2025),7.376
Седьмая печать,Драма,Исторический,Философское,Классика (до 2000 года),8.032
Знакомьтесь, Джо Блэк,Драма,Фэнтези,Философское,Классика (до 2000 года),8.078
Дело храбрых,Драма,Военный,Грустное/Трагическое,Современное кино (2000–2020),8.273
Лунный свет,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),6.175
Счастье,Драма,Семейный,Философское,Новинки (2020–2025),8.221
Любой ценой,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),7.234
Жизнь Адель,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.012
Капитан Фантастик,Драма,Семейный,Философское,Современное кино (2000–2020),7.683
Крылья,Драма,Военный,Грустное/Трагическое,Классика (до 2000 года),7.216
Отверженные,Драма,Исторический,Грустное/Трагическое,Современное кино (2000–2020),7.906
Анатомия падения,Драма,Психологический триллер,Философское,Новинки (2020–2025),6.806
Виноваты звезды,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.81
Вавилон,Драма,Исторический,Философское,Новинки (2020–2025),7.562
Приют,Драма,Психологическая драма,Грустное/Трагическое,Современное кино (2000–2020),7.095
Шпионский мост,Драма,Исторический,Философское,Современное кино (2000–2020),7.487
Пышка,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),6.392
Нетерпимость,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.74
Человек божий,Драма,Биографический,Вдохновляющее,Новинки (2020–2025),7.645
Джейн Эйр,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.417
Человек из ресторана,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.289
Дьявол - это женщина,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),6.861
Билли Эллиот,Драма,Семейный,Вдохновляющее,Современное кино (2000–2020),8.063
Претенденты,Драма,Исторический,Вдохновляющее,Современное кино (2000–2020),6.978
Бьютифул,Драма,Психологическая драма,Грустное/Трагическое,Современное кино (2000–2020),7.697
Каменный цветок,Драма,Фэнтези,Вдохновляющее,Классика (до 2000 года),7.196
Непрощенный,Драма,Криминал,Философское,Классика (до 2000 года),6.873
Король неба,Драма,Исторический,Вдохновляющее,Новинки (2020–2025),7.08
Горбатая гора,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.603
Ураган,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),7.978
Нелюбовь,Драма,Семейный,Грустное/Трагическое,Современное кино (2000–2020),7.413
Облачный атлас,Драма,Фантастика,Философское,Современное кино (2000–2020),7.766
12,Драма,Криминал,Философское,Современное кино (2000–2020),7.735
Великий Гэтсби,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.946
Вторая жизнь Гарольда Фрая,Драма,Приключения,Грустное/Трагическое,Новинки (2020–2025),7.539
Поп,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),7.394
Прошлые жизни,Драма,Психологическая драма,Философское,Новинки (2020–2025),7.376
Серебряные коньки,Драма,Приключения,Вдохновляющее,Новинки (2020–2025),7.788
Мне бы в небо,Драма,Комедия,Философское,Современное кино (2000–2020),7.298
Мечта,Драма,Неважно,Вдохновляющее,Новинки (2020–2025),7.002
Фаворитка,Драма,Исторический,Грустное/Трагическое,Современное кино (2000–2020),7.282
Крид 2,Драма,Боевик (Экшен),Вдохновляющее,Современное кино (2000–2020),6.703
Выживут только любовники,Драма,Фантастика,Философское,Современное кино (2000–2020),7.355
Более странно, чем в раю,Драма,Приключения,Философское,Классика (до 2000 года),7.639
Отец Сергий,Драма,Исторический,Философское,Классика (до 2000 года),7.569
Вызов,Драма,Биографический,Вдохновляющее,Новинки (2020–2025),7.861
Патруль,Драма,Военный,Грустное/Трагическое,Современное кино (2000–2020),7.719
Сибирь. Монамур,Драма,Мелодрама,Философское,Новинки (2020–2025),7.661
Воды слонам!,Драма,Мелодрама,Вдохновляющее,Современное кино (2000–2020),7.552
Шесть превращений Яна Пищика,Драма,Криминал,Философское,Новинки (2020–2025),7.154
Призрак оперы,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.818
У твоего порога,Драма,Криминал,Философское,Новинки (2020–2025),5.953
Эверест,Драма,Приключения,Вдохновляющее,Современное кино (2000–2020),7.202
Почему Бодхидхарма ушел на Восток,Драма,Биографический,Философское,Классика (до 2000 года),7.026
Поезд идет на восток,Драма,Военный,Философское,Классика (до 2000 года),7.276
Глубоководный горизонт,Драма,Биографический,Грустное/Трагическое,Современное кино (2000–2020),7.248
