
Отец,Драма,Психологическая драма,Эмоциональная напряженность,Новинки (2020–2025),7.8  
Похитители велосипедов,Драма,Криминал,Грустное/Трагическое,Классика (до 2000 года),8.1
До свидания, мистер Чипс,Драма,Биографический,Вдохновляющее,Классика (до 2000 года),7.5
Американская история Х,Драма,Криминал,Грустное/Трагическое,Классика (до 2000 года),8.1
Дневник памяти,Драма,Мелодрама,Романтическая страсть,Современное кино (2000–2020),8.1  
Пролетая над гнездом кукушки,Драма,Психологическая драма,Психологическая,Классика (до 2000),8.6  
Загадочная история Бенджамина Баттона,Драма,Фантастика,Философское,Современное кино (2000–2020),8.4
Эта замечательная жизнь,Драма,Фэнтези,Вдохновляющее,Классика (до 2000 года),8.4
Сибириада,Драма,Исторический,Философское,Классика (до 2000 года),7.8
Я шагаю по Москве,Драма,Исторический,Вдохновляющее,Классика (до 2000 года),8.0
Неотправленное письмо,Драма,Приключения,Экстремальное выживание,Классика (до 2000 года),7.2  
Человек дождя,Драма,Биографический,Философское,Классика (до 2000 года),8.6
Паразиты,Драма,Криминал,Философское,Современное кино (2000–2020),8.2
Шоу Трумана,Драма,Фантастика,Психологический,Современное кино (2000–2020),8.1  
Рокки,Драма,Спортивная драма,Вдохновляющая,Классика (до 2000),8.1  
Черный лебедь,Драма,Триллер,Грустное/Трагическое,Современное кино (2000–2020),7.6
Миллионер из трущоб,Драма,Криминал,Вдохновляющее,Современное кино (2000–2020),8.1
Где ты, Адам?,Драма,Психологическая драма,Эмоциональная глубина,Новинки (2020–2025),7.8  
Король говорит!,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),8.0
Раннее лето,Драма,Семейный,Философское,Классика (до 2000 года),7.7
Дом, в котором я живу,Драма,Военный,Грустное/Трагическое,Классика (до 2000 года),7.8
Черный нарцисс,Драма,Неважно,Грустное/Трагическое,Классика (до 2000 года),7.4
Большие надежды,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.5
Три билборда на границе Эббинга, Миссури,Драма,Криминал,Философское,Современное кино (2000–2020),7.8
Судьба человека,Драма,Военный,Грустное/Трагическое,Классика (до 2000 года),8.4
Маленькие женщины,Драма,Исторический,Вдохновляющее,Современное кино (2000–2020),7.8
Белая птица. Новое чудо,Драма,Семейный,Вдохновляющее,Новинки (2020–2025),6.5
Ромео и Джульетта,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),7.7
Банши Инишерина,Драма,Исторический,Грустное/Трагическое,Новинки (2020–2025),7.4
Сладкая жизнь,Драма,Неважно,Философское,Классика (до 2000 года),7.9
Письмо трем женам,Драма,Мелодрама,Философское,Классика (до 2000 года),7.6
Крупная рыба,Драма,Фэнтези,Философское,Современное кино (2000–2020),7.8
Последний самурай,Драма,Исторический,Философское,Современное кино (2000–2020),7.8  
Rammstein: Paris!,Драма,Другое,Другое,Современное кино (2000–2020),7.5
Дурак,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),7.6
Расемон,Драма,Детектив,Философское,Классика (до 2000 года),8.3
Одержимость,Драма,Биографический,Грустное/Трагическое,Современное кино (2000–2020),8.1
Гамлет,Драма,Исторический,Философское,Классика (до 2000 года),7.8  
Тихий Дон,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),8.1  
Восход солнца,Драма,Мелодрама,Философское,Классика (до 2000 года),8.1
Идиот,Драма,Исторический,Психологический,Современное кино (2000–2020),8.3  
Портрет Дориана Грея,Драма,Психологическая драма,Философское,Классика (до 2000),7.6
Выживший,Драма,Приключения,Экстремальное выживание,Современное кино (2000–2020),8.0
В яранге горит огонь,Драма,Исторический,Психологический,Новинка (2020–2023),7.5  
Красота по-американски,Драма,Неважно,Философское,Классика (до 2000 года),7.9
Свет,Драма,Семейный,Грустное/Трагическое,Новинки (2020-2025),6.4
Набережная туманов,Драма,Криминал,Грустное/Трагическое,Классика (до 2000 года),8.1
Социальная сеть,Драма,Биографический,Философское,Современное кино (2000–2020),8.0
Голубой ангел,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),7.6
Кентавр,Драма,Семейный,Грустное/Трагическое,Новинки (2020–2025),6.5
Фауст. Народная легенда,Драма,Исторический,Философское,Классика (до 2000 года),7.3
Воспоминания о Марни,Драма,Семейный,Грустное/Трагическое,Современное кино (2000–2020),6.9
Гран Торино,Драма,Криминал,Психологический,Современное кино (2000–2020),8.1
Ангелы с грязными лицами,Драма,Криминал,Психологическая,Классика (до 2000 года),8.0  
Бальная записная книжка,Драма,Исторический,Философское,Новинки (2020-2025),7.5  
Летят журавли,Драма,Военный,Грустное/Трагическое,Классика (до 2000 года),8.1
Звезда родилась,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.6
Нефть,Драма,Исторический,Драматическая,Современное кино (2000–2020),6.4  
Дитя погоды,Драма,Фэнтези,Вдохновляющее,Современное кино (2000–2020),7.7
Дело было в Пенькове,Драма,Мелодрама,Вдохновляющее,Классика (до 2000 года),7.8
Убийцы цветочной луны,Драма,Криминал,Философское,Новинки (2020–2025),7.8
Привидение,Драма,Фэнтези,Психологический,Классика (до 2000 года),8.1  
Круэлла,Драма,Криминал,Психологический,Новинки (2020–2025),6.7  
Весна, лето, осень, зима... и снова весна,Драма,Неважно,Философское,Современное кино (2000–2020),7.8
Вступление,Драма,Семейный,Философское,Новинки (2020–2025),7.8
Разные судьбы,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),7.2
Globe: Доктор Фауст,Драма,Философское,Философское,Новинки (2020–2025),7.4
Семь жизней,Драма,Мелодрама,Философское,Современное кино (2000–2020),7.9
Меня зовут Кхан,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),7.9
